TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
63575,Pittosporum undulatum :: Victorian Box,1335 Filbert St,1,Sidewalk: Curb side : Cutout,4/30/87,1987,9,37.79974906,-122.4215562
63576,Pittosporum undulatum :: Victorian Box,1338 Filbert St,1,Sidewalk: Curb side : Cutout,4/30/87,1987,15,37.79990705,-122.4213765
63579,Pittosporum undulatum :: Victorian Box,1370 Filbert St,1,Sidewalk: Curb side : Cutout,4/30/87,1987,12,37.79982849,-122.4220052
62977,Melaleuca styphelliodes :: Paperbark Tree,1275 Union St,1,Sidewalk: Curb side : Cutout,5/4/87,1987,13,37.79897759,-122.4202176
63605,Magnolia grandiflora :: Southern Magnolia,848 Central Ave,1,Sidewalk: Curb side : Cutout,5/13/87,1987,6,37.77757368,-122.4450053
63633,Prunus cerasifera :: Cherry Plum,2230 Steiner St,1,Sidewalk: Curb side : Cutout,5/22/87,1987,2,37.7901258,-122.4356935
63636,Prunus cerasifera :: Cherry Plum,709 Broderick St,1,Sidewalk: Curb side : Cutout,5/22/87,1987,4,37.77702572,-122.4400118
220233,Acacia melanoxylon :: Blackwood Acacia,1001 Ashbury St,1,Sidewalk: Property side : Yard,5/23/87,1987,39,37.76438107,-122.4460701
63651,Metrosideros excelsa :: New Zealand Xmas Tree,3432 Lawton St,1,Sidewalk: Curb side : Cutout,5/26/87,1987,11,37.75702168,-122.4998203
63750,Olea europaea :: Olive Tree,257 Wilson St,1,Sidewalk: Curb side : Cutout,7/9/87,1987,4,37.70950296,-122.4618555
54016,Prunus cerasifera :: Cherry Plum,847 35th Ave,1,Sidewalk: Curb side : Cutout,7/10/87,1987,4,37.77301869,-122.4950616
63906,Prunus cerasifera :: Cherry Plum,39 20th Ave,1,Sidewalk: Curb side : Cutout,7/28/87,1987,4,37.78662898,-122.4799177
63908,Ficus retusa nitida :: Banyan Fig,2125 Powell St,1,Sidewalk: Curb side : Cutout,8/3/87,1987,14,37.80440194,-122.41174
